post_id,pattern_name,posted_at,slot_hour,day_name,first_line,elapsed_hours,views,likes,replies,reposts,auto_replies,er_pct,velocity_views_per_hour,snapshot_at
verify-retry-20260329151219,,2026-03-29T15:12:19.371535+09:00,15,日,春分を過ぎた今夜✨,61,219,21,0,0,0,9.59,3.6,2026-04-01T05:00:46.366302+09:00
verify-retry-20260329191217,,2026-03-29T19:12:17.850722+09:00,19,日,🌙 牡羊座さんへ,57,73,4,0,0,0,5.48,1.3,2026-04-01T05:00:46.366302+09:00
verify-retry-20260329204216,,2026-03-29T20:42:16.108146+09:00,20,日,ここ数日、なんか,56,128,3,27,0,0,23.44,2.3,2026-04-01T05:00:46.366302+09:00
verify-retry-20260330091216,,2026-03-30T09:12:16.762871+09:00,9,月,12星座中、今週最も運が開く星座。,43,29,4,2,0,0,20.69,0.7,2026-04-01T05:00:46.366302+09:00
verify-retry-20260330121218,,2026-03-30T12:12:18.763885+09:00,12,月,月が双子座に移ります✨,40,176,10,0,0,0,5.68,4.4,2026-04-01T05:00:46.366302+09:00
post_20260330_th_004,自由型_仕事運注意喚起,2026-03-31T07:07:21.881189+09:00,7,火,来週、仕事で,21,50,8,1,0,0,18.0,2.4,2026-04-01T05:00:46.366302+09:00
post_20260330_th_005,自由型_恋愛深掘り,2026-03-31T09:07:20.735442+09:00,9,火,恋愛について、,19,138,2,0,0,0,1.45,7.3,2026-04-01T05:00:46.366302+09:00
post_20260330_th_006,自由型_水星逆行対策,2026-03-31T10:37:23.070412+09:00,10,火,水星逆行が,18,97,1,0,0,0,1.03,5.4,2026-04-01T05:00:46.366302+09:00
post_20260330_th_007,構造B_ランキング型_総合運TOP5,2026-03-31T12:07:19.265884+09:00,12,火,【今週の星座ランキング】,16,92,12,0,0,0,13.04,5.8,2026-04-01T05:00:46.366302+09:00
post_20260331_1207_th_001,構造C_共感型_仕事運,2026-03-31T15:07:19.532258+09:00,15,火,最近、仕事で判断を迷う,13,23,1,0,0,0,4.35,1.8,2026-04-01T05:00:46.366302+09:00
post_20260331_1207_th_004,自由型_総合運メッセージ,2026-03-31T17:13:40.784035+09:00,17,火,新しい月が始まる時、,11,20,1,0,0,0,5.0,1.8,2026-04-01T05:00:46.366302+09:00
verify-retry-20260331191217,,2026-03-31T19:12:17.675190+09:00,19,火,来週、仕事で気をつけた方がいい星座。,9,39,2,2,0,0,10.26,4.3,2026-04-01T05:00:46.366302+09:00
